state,puma2k,puma12,stab,PUMAname,PUMA2kName,pop10,afact,AFACT2
6,1403,6707,CA,Sacramento County (West)--Sacramento City (Central/Downtown & Midtown),601403,31457,0.18,0.277
6,1403,6708,CA,"Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park)",601403,3903,0.022,0.029
6,1403,6709,CA,"Sacramento County--Sacramento City (Southwest/Pocket, Meadowview & North Laguna)",601403,137826,0.791,1
6,1403,6710,CA,Sacramento County (Central)--Elk Grove City,601403,1082,0.006,0.007
6,1403,6711,CA,"Sacramento County (South)--Galt, Isleton Cities & Delta Region",601403,33,0,0
6,1501,6704,CA,"Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park",601501,76750,0.537,0.641
6,1501,6705,CA,Sacramento County (Northwest)--Sacramento City (Northwest/Natomas),601501,718,0.005,0.007
6,1501,6706,CA,"Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda",601501,65543,0.458,0.562
6,1502,6701,CA,Sacramento County (North Central)--Citrus Heights City,601502,105079,1,1
6,1503,6702,CA,Sacramento County (Central)--Rancho Cordova City,601503,15622,0.093,0.141
6,1503,6703,CA,"Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West)",601503,44470,0.264,0.407
6,1503,6712,CA,"Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East)",601503,108214,0.643,0.991
6,1504,6702,CA,Sacramento County (Central)--Rancho Cordova City,601504,49587,0.299,0.447
6,1504,6703,CA,"Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West)",601504,64842,0.391,0.593
6,1504,6704,CA,"Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park",601504,42910,0.259,0.358
6,1504,6707,CA,Sacramento County (West)--Sacramento City (Central/Downtown & Midtown),601504,8486,0.051,0.075
6,1505,6708,CA,"Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park)",601505,63712,0.347,0.479
6,1505,6710,CA,Sacramento County (Central)--Elk Grove City,601505,92061,0.502,0.603
6,1505,6711,CA,"Sacramento County (South)--Galt, Isleton Cities & Delta Region",601505,27698,0.151,0.26
6,1506,6702,CA,Sacramento County (Central)--Rancho Cordova City,601506,45659,0.246,0.412
6,1506,6708,CA,"Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park)",601506,1719,0.009,0.013
6,1506,6710,CA,Sacramento County (Central)--Elk Grove City,601506,59499,0.32,0.39
6,1506,6711,CA,"Sacramento County (South)--Galt, Isleton Cities & Delta Region",601506,78770,0.424,0.74
6,1601,6101,CA,Placer County (Southwest)--Roseville City,601601,8762,0.047,0.071
6,1601,6102,CA,"Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town",601601,65859,0.353,0.586
6,1601,6103,CA,Placer County (East/High Country Region)--Auburn & Colfax Cities,601601,111831,0.6,1
6,1602,6101,CA,Placer County (Southwest)--Roseville City,601602,115374,0.712,0.929
6,1602,6102,CA,"Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town",601602,46606,0.288,0.414
6,1700,1700,CA,El Dorado County--El Dorado Hills,601700,181058,0.995,1
6,1700,6712,CA,"Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East)",601700,956,0.005,0.009
6,1800,300,CA,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",601800,191208,1,1
6,1901,7702,CA,San Joaquin County (Central)--Stockton City (South),601901,123551,0.993,0.813
6,1901,7704,CA,"San Joaquin County (North)--Lodi, Ripon & Escalon Cities",601901,907,0.007,0.006
6,1902,7701,CA,San Joaquin County (Central)--Stockton City (North),601902,153232,0.981,0.881
6,1902,7704,CA,"San Joaquin County (North)--Lodi, Ripon & Escalon Cities",601902,2999,0.019,0.018
6,2001,7703,CA,"San Joaquin County (South)--Tracy, Manteca & Lathrop Cities",602001,195536,0.909,1
6,2001,7704,CA,"San Joaquin County (North)--Lodi, Ripon & Escalon Cities",602001,19473,0.091,0.119
6,2002,7701,CA,San Joaquin County (Central)--Stockton City (North),602002,20705,0.109,0.119
6,2002,7702,CA,San Joaquin County (Central)--Stockton City (South),602002,28459,0.15,0.187
6,2002,7704,CA,"San Joaquin County (North)--Lodi, Ripon & Escalon Cities",602002,140444,0.741,0.857
6,2101,1301,CA,Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities,602101,114768,0.878,1
6,2101,1302,CA,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites",602101,15971,0.122,0.135
6,2102,1301,CA,Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities,602102,9,0,0
6,2102,1302,CA,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites",602102,102700,0.855,0.865
6,2102,1303,CA,"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities",602102,17450,0.145,0.135
6,2103,1303,CA,"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities",602103,91188,0.846,0.703
6,2103,1304,CA,"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town",602103,106,0.001,0.001
6,2103,1306,CA,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities",602103,13212,0.123,0.118
6,2103,1307,CA,Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities,602103,3281,0.03,0.027
6,2104,1304,CA,"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town",602104,100105,0.672,0.85
6,2104,1306,CA,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities",602104,48789,0.328,0.435
6,2105,1304,CA,"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town",602105,17573,0.124,0.149
6,2105,1305,CA,Contra Costa County (South)--San Ramon City & Danville Town,602105,124585,0.876,1
6,2106,1303,CA,"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities",602106,20987,0.161,0.162
6,2106,1306,CA,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities",602106,50210,0.385,0.447
6,2106,1307,CA,Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities,602106,41216,0.316,0.342
6,2106,1308,CA,Contra Costa County (Northeast)--Antioch City,602106,17895,0.137,0.167
6,2107,1307,CA,Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities,602107,75977,0.69,0.631
6,2107,1308,CA,Contra Costa County (Northeast)--Antioch City,602107,34119,0.31,0.318
6,2108,1308,CA,Contra Costa County (Northeast)--Antioch City,602108,55199,0.347,0.515
6,2108,1309,CA,Contra Costa County (East)--Brentwood & Oakley Cities,602108,103685,0.653,1
6,2201,7501,CA,San Francisco County (North & West)--Richmond District,602201,136936,1,1
6,2202,7502,CA,San Francisco County (North & East)--North Beach & Chinatown,602202,107027,1,1
6,2203,7503,CA,San Francisco County (Central)--South of Market & Potrero,602203,129066,1,1
6,2204,7504,CA,San Francisco County (Central)--Inner Mission & Castro,602204,106640,1,1
6,2205,7505,CA,San Francisco County (Central)--Sunset District (North),602205,105336,1,1
6,2206,7506,CA,San Francisco County (South Central)--Sunset District (South),602206,110830,1,1
6,2207,7507,CA,San Francisco County (South Central)--Bayview & Hunters Point,602207,109400,1,1
6,2301,8101,CA,"San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town",602301,137229,1,1
6,2301,8102,CA,"San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities",602301,4,0,0
6,2302,8101,CA,"San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town",602302,68,0.001,0
6,2302,8102,CA,"San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities",602302,117376,0.999,1
6,2302,8103,CA,"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities",602302,32,0,0
6,2303,8103,CA,"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities",602303,104209,1,1
6,2304,8103,CA,"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities",602304,17,0,0
6,2304,8104,CA,San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities,602304,118633,1,0.999
6,2305,8104,CA,San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities,602305,71,0.001,0.001
6,2305,8105,CA,"San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities",602305,127245,0.999,1
6,2306,8106,CA,"San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town",602306,113567,1,1
6,2401,101,CA,Alameda County (North)--Berkeley & Albany Cities,602401,131119,1,1
6,2402,102,CA,Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities,602402,158091,1,1
6,2403,103,CA,Alameda County (Northeast)--Oakland (East) & Piedmont Cities,602403,125220,1,1
6,2404,104,CA,Alameda County (North Central)--Oakland City (South Central),602404,124571,1,1
6,2404,105,CA,"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities",602404,1,0,0
6,2405,104,CA,Alameda County (North Central)--Oakland City (South Central),602405,37,0,0
6,2405,105,CA,"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities",602405,163533,1,1
6,2406,103,CA,Alameda County (Northeast)--Oakland (East) & Piedmont Cities,602406,9,0,0
6,2406,106,CA,"Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland",602406,134752,1,1
6,2407,107,CA,Alameda County (Central)--Hayward City,602407,145655,1,1
6,2408,108,CA,"Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities",602408,135402,1,1
6,2409,109,CA,Alameda County (South Central)--Fremont City (East),602409,189764,1,1
6,2410,110,CA,"Alameda County (East)--Livermore, Pleasanton & Dublin Cities",602410,202117,1,1
6,2500,9901,CA,"Stanislaus County (Southwest)--Ceres, Patterson & Newman Cities",602500,108,0.001,0.001
6,2500,9902,CA,Stanislaus County (Central)--Modesto City (West),602500,96138,0.476,0.812
6,2500,9903,CA,"Stanislaus County (Northeast)--Turlock, Riverbank, Oakdale & Waterford Cities",602500,270,0.001,0.002
6,2500,9904,CA,Stanislaus County (Central)--Modesto City (East),602500,105380,0.522,0.973
6,2601,9901,CA,"Stanislaus County (Southwest)--Ceres, Patterson & Newman Cities",602601,58687,0.355,0.517
6,2601,9902,CA,Stanislaus County (Central)--Modesto City (West),602601,11746,0.071,0.099
6,2601,9903,CA,"Stanislaus County (Northeast)--Turlock, Riverbank, Oakdale & Waterford Cities",602601,94830,0.574,0.545
6,2602,9901,CA,"Stanislaus County (Southwest)--Ceres, Patterson & Newman Cities",602602,54762,0.372,0.482
6,2602,9902,CA,Stanislaus County (Central)--Modesto City (West),602602,10564,0.072,0.089
6,2602,9903,CA,"Stanislaus County (Northeast)--Turlock, Riverbank, Oakdale & Waterford Cities",602602,79019,0.536,0.454
6,2602,9904,CA,Stanislaus County (Central)--Modesto City (East),602602,2949,0.02,0.027
6,2701,8501,CA,"Santa Clara County (Northwest)--Mountain View, Palo Alto & Los Altos Cities",602701,195320,1,1
6,2702,8502,CA,Santa Clara County (Northwest)--Sunnyvale & San Jose (North) Cities,602702,144475,1,0.985
6,2703,8502,CA,Santa Clara County (Northwest)--Sunnyvale & San Jose (North) Cities,602703,2144,0.017,0.015
6,2703,8503,CA,Santa Clara County (Northwest)--San Jose (Northwest) & Santa Clara Cities,602703,126534,0.983,0.971
6,2704,8504,CA,Santa Clara County (North Central)--Milpitas & San Jose (Northeast) Cities,602704,128989,1,1
6,2705,8505,CA,Santa Clara County (North Central)--San Jose City (East Central) & Alum Rock,602705,106040,1,1
6,2706,8506,CA,"Santa Clara County (East)--Gilroy, Morgan Hill & San Jose (South) Cities",602706,110301,0.964,1
6,2706,8512,CA,Santa Clara County (Central)--San Jose City (Southwest/Almaden Valley),602706,4172,0.036,0.04
6,2707,8507,CA,"Santa Clara County (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town",602707,132926,1,0.973
6,2708,8503,CA,Santa Clara County (Northwest)--San Jose (Northwest) & Santa Clara Cities,602708,3741,0.029,0.029
6,2708,8508,CA,Santa Clara County (Central)--San Jose (West Central) & Campbell Cities,602708,126575,0.971,0.949
6,2709,8509,CA,Santa Clara County (Central)--San Jose City (Northwest),602709,121804,1,1
6,2710,8508,CA,Santa Clara County (Central)--San Jose (West Central) & Campbell Cities,602710,6847,0.044,0.051
6,2710,8510,CA,Santa Clara County (Central)--San Jose City (Central),602710,150464,0.956,1
6,2711,8507,CA,"Santa Clara County (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town",602711,3629,0.035,0.027
6,2711,8511,CA,Santa Clara County (Central)--San Jose City (South Central/Branham) & Cambrian Park,602711,100137,0.965,0.961
6,2712,8511,CA,Santa Clara County (Central)--San Jose City (South Central/Branham) & Cambrian Park,602712,4085,0.039,0.039
6,2712,8512,CA,Santa Clara County (Central)--San Jose City (Southwest/Almaden Valley),602712,101227,0.961,0.96
6,2713,8513,CA,Santa Clara County (Central)--San Jose City (Southeast/Evergreen),602713,108883,0.937,1
6,2713,8514,CA,Santa Clara County (Central)--San Jose City (East Central/East Valley),602713,7264,0.063,0.07
6,2714,8514,CA,Santa Clara County (Central)--San Jose City (East Central/East Valley),602714,96085,1,0.93
6,2801,8701,CA,Santa Cruz County (North)--Watsonville & Scotts Valley Cities,602801,10422,0.082,0.073
6,2801,8702,CA,Santa Cruz County (South & Coastal)--Santa Cruz City,602801,116490,0.918,0.967
6,2802,8701,CA,Santa Cruz County (North)--Watsonville & Scotts Valley Cities,602802,131527,0.971,0.927
6,2802,8702,CA,Santa Cruz County (South & Coastal)--Santa Cruz City,602802,3943,0.029,0.033
